cluster,isNamespaced,pod,hostNetwork,ports,storeID,runID,class,app,image,capabilities,privesc,hostIpc,team,command,runAsUser,args,privileged,node,service,name,namespace,compromised,hostPid,id,label
kind-kubehound.test.local,true,coredns-674b8bbfcf-5sqqf,false,"[53, 53, 9153]",686cdf53dce18c406e3d274e,01jzmmdybqgekbn439fjdz6she,Container,,registry.k8s.io/coredns/coredns:v1.12.0,[NET_BIND_SERVICE],false,false,,,0,"[-conf, /etc/coredns/Corefile]",false,kubehound.test.local-control-plane,,coredns,kube-system,0,false,1900896,Container
kind-kubehound.test.local,true,coredns-674b8bbfcf-dj6vm,false,"[53, 53, 9153]",686cdf53dce18c406e3d2755,01jzmmdybqgekbn439fjdz6she,Container,,registry.k8s.io/coredns/coredns:v1.12.0,[NET_BIND_SERVICE],false,false,,,0,"[-conf, /etc/coredns/Corefile]",false,kubehound.test.local-control-plane,,coredns,kube-system,0,false,1181464,Container
kind-kubehound.test.local,true,control-pod,false,[],686cdf53dce18c406e3d26e9,01jzmmdybqgekbn439fjdz6she,Container,kubehound-edge-test,ubuntu,[],false,false,,"[/bin/sh, -c, --]",0,[while true; do sleep 30; done;],false,kubehound.test.local-worker2,,control-pod,default,0,false,853016,Container
kind-kubehound.test.local,true,rolebind-pod-crb-cr-crb-r-fail,false,[],686cdf53dce18c406e3d2716,01jzmmdybqgekbn439fjdz6she,Container,kubehound-edge-test,ubuntu,[],false,false,,"[/bin/sh, -c, --]",0,[while true; do sleep 30; done;],false,kubehound.test.local-worker2,,rolebind-pod-crb-cr-crb-r-fail,default,0,false,919320,Container
kind-kubehound.test.local,true,rolebind-pod-rb-cr-crb-cr-fail,false,[],686cdf53dce18c406e3d271f,01jzmmdybqgekbn439fjdz6she,Container,kubehound-edge-test,ubuntu,[],false,false,,"[/bin/sh, -c, --]",0,[while true; do sleep 30; done;],false,kubehound.test.local-worker2,,rolebind-pod-rb-cr-crb-cr-fail,default,0,false,2098712,Container
kind-kubehound.test.local,true,endpoints-pod,false,"[80, 1111, 9999]",686cdf53dce18c406e3d26ec,01jzmmdybqgekbn439fjdz6she,Container,kubehound-edge-test,ubuntu,[],false,false,,"[/bin/sh, -c, --]",0,[while true; do sleep 30; done;],true,kubehound.test.local-worker2,,endpoints-pod,default,0,true,1441840,Container
kind-kubehound.test.local,true,host-read-exploit-pod,false,[],686cdf53dce18c406e3d26f2,01jzmmdybqgekbn439fjdz6she,Container,kubehound-edge-test,ubuntu,[],false,false,,"[/bin/sh, -c, --]",0,[while true; do sleep 30; done;],false,kubehound.test.local-worker2,,host-read-exploit-pod,default,0,false,1507376,Container
kind-kubehound.test.local,true,rolebind-pod-crb-cr-crb-cr,false,[],686cdf53dce18c406e3d2713,01jzmmdybqgekbn439fjdz6she,Container,kubehound-edge-test,ubuntu,[],false,false,,"[/bin/sh, -c, --]",0,[while true; do sleep 30; done;],false,kubehound.test.local-worker2,,rolebind-pod-crb-cr-crb-cr,default,0,false,1572912,Container
kind-kubehound.test.local,true,rolebind-pod-rb-r-rb-crb,false,[],686cdf53dce18c406e3d272b,01jzmmdybqgekbn439fjdz6she,Container,kubehound-edge-test,ubuntu,[],false,false,,"[/bin/sh, -c, --]",0,[while true; do sleep 30; done;],false,kubehound.test.local-worker2,,rolebind-pod-rb-r-rb-crb,default,0,false,1638448,Container
kind-kubehound.test.local,true,modload-pod,false,[],686cdf53dce18c406e3d26fe,01jzmmdybqgekbn439fjdz6she,Container,kubehound-edge-test,ubuntu,[SYS_MODULE],false,false,,"[/bin/sh, -c, --]",0,[while true; do sleep 30; done;],false,kubehound.test.local-worker2,,modload-pod,default,0,false,1639744,Container
